Computer 446;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 447;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 448;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 449;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;01/12/2021;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 450;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 451;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 453;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;21/03/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 455;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;21/03/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 456;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;24/06/2021;21/03/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 476;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;01/08/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 477;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;01/08/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 478;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;01/08/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1662;Inactive;Operational;DELL;Precision T5820;Standard workstations;PRINOTH SPA;GER-HERDWANGEN;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 479;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;01/08/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 481;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;07/10/2021;01/08/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 482;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;04/01/2022;01/08/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 483;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;;01/08/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 484;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;24/05/2021;01/08/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
