Computer 3892;Production;Operational;DELL;Latitude 5520;Standard personal computers;DEMACLENKO;USA-NH-GILMANTON;27/05/2022;27/05/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3898;Production;Operational;DELL;Latitude 5520;Standard personal computers;PRINOTH LTD;CAN-GRANBY;31/05/2022;31/05/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3899;Maintenance;Operational;DELL;Latitude 5520;Standard personal computers;PRINOTH LTD;CAN-GRANBY;02/06/2022;02/06/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3969;Production;Operational;DELL;Latitude 5520;Standard personal computers;PRINOTH LTD;CAN-GRANBY;13/07/2022;13/07/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3974;Production;Operational;DELL;Latitude 5520;Standard personal computers;PRINOTH LTD;USA-NH-GILMANTON;27/07/2022;27/07/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4389;Production;Operational;DELL;Latitude 5520;Standard personal computers;PRINOTH LTD;CAN-GRANBY;23/09/2022;23/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3302;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;PRINOTH LTD;CAN-GRANBY;27/07/2021;27/07/2021;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3985;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-FRANCIN;29/08/2022;29/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3986;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-FRANCIN;29/08/2022;29/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3987;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-FRANCIN;29/08/2022;29/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3988;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-FRANCIN;29/08/2022;29/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3989;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-FRANCIN;29/08/2022;29/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3990;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-FRANCIN;29/08/2022;29/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4344;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;24/08/2022;24/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4346;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;26/08/2022;26/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4347;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;22/09/2022;22/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4348;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-FRANCIN;26/08/2022;26/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4349;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;26/08/2022;26/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4351;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;19/09/2022;19/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4352;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;26/08/2022;26/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4353;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;23/09/2022;23/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4354;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;29/08/2022;29/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4355;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;30/08/2022;30/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4356;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;31/08/2022;31/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4358;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;29/08/2022;29/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4359;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;15/09/2022;15/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4360;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;20/09/2022;20/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4361;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;05/09/2022;05/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4362;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;02/09/2022;02/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4363;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;15/09/2022;15/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4364;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;15/09/2022;15/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4365;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;23/09/2022;23/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4366;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;02/09/2022;02/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4367;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;02/09/2022;02/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4368;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;02/09/2022;02/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4369;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;02/09/2022;02/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4370;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;05/09/2022;05/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4371;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;07/09/2022;07/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4372;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;06/09/2022;06/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4383;Production;Operational;DELL;Latitude 5520;Standard workstation laptops;PRINOTH LTD;CAN-CALGARY;08/09/2022;08/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3673;Production;Operational;DELL;Latitude 5521;Standard laptops;LEITNER-POMA OF AMERICA INC;USA-CO-GRANDJUNCTION;31/12/2022;11/01/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3674;Production;Operational;DELL;Latitude 5521;Standard laptops;LEITNER-POMA OF AMERICA INC;USA-CO-GRANDJUNCTION;31/12/2022;11/01/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4345;Inactive;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;23/09/2022;23/09/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4350;Inactive;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;10/08/2024;10/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4357;Inactive;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;10/08/2024;10/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4373;Inactive;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;10/08/2024;10/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4374;Inactive;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;10/08/2024;10/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4375;Inactive;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;10/08/2024;10/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 4376;Inactive;Operational;DELL;Latitude 5520;Standard workstation laptops;POMA SAS;FRA-VOREPPE;10/08/2024;10/08/2022;Permanent;Intel(R) Core(TM) i7-1185G7 CPU @ 2.40GHz;35
Computer 3117;Production;Operational;DELL;Latitude 5511;Standard laptops;PRINOTH NA;CAN-GRANBY;17/10/2023;16/10/2020;Permanent;Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz;45
Computer 3448;Production;Operational;DELL;Precision 7550;Standard workstation laptops;LEITNER-POMA OF AMERICA INC;USA-CO-GRANDJUNCTION;11/01/2026;11/01/2021;Permanent;Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz;45
Computer 3449;Production;Operational;DELL;Precision 7550;Standard workstation laptops;LEITNER-POMA OF AMERICA INC;USA-CO-GRANDJUNCTION;11/01/2026;11/01/2021;Permanent;Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz;45
Computer 3540;Production;Operational;DELL;Precision 7550;Standard workstation laptops;LEITNER-POMA OF AMERICA INC;USA-CO-GRANDJUNCTION;22/09/2024;27/09/2021;Permanent;Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz;45
Computer 3541;Production;Operational;DELL;Precision 7550;Standard workstation laptops;LEITNER-POMA OF AMERICA INC;USA-CO-GRANDJUNCTION;24/09/2024;27/09/2021;Permanent;Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz;45
Computer 3267;Inactive;Operational;DELL;Optiplex 3080;Standard personal computers;LEITNER-POMA OF AMERICA INC;USA-CO-GRANDJUNCTION;07/07/2024;07/07/2021;Permanent;Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz;35
Computer 3303;Inactive;Operational;DELL;Optiplex 7080;Standard personal computers;POMA SAS;EGY-CAIRO;30/07/2021;30/07/2021;Permanent;Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz;65
Computer 264;Inactive;Operational;DELL;Optiplex 3060 MFF;Standard personal computers;POMA BEIJING ROPEWAY CO. LTD;CHN-HUAIROU;09/04/2022;09/04/2019;Permanent;Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz;35
Computer 263;Production;Operational;DELL;Optiplex 3060 MFF;Standard personal computers;POMA BEIJING ROPEWAY CO. LTD;CHN-HUAIROU;09/04/2022;09/04/2019;Permanent;Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz;35
Computer 265;Production;Operational;DELL;Optiplex 3060 MFF;Standard personal computers;POMA BEIJING ROPEWAY CO. LTD;CHN-HUAIROU;;09/04/2019;Permanent;Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz;35
Computer 266;Production;Operational;DELL;Optiplex 3060 MFF;Standard personal computers;POMA BEIJING ROPEWAY CO. LTD;CHN-HUAIROU;;09/04/2019;Permanent;Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz;35
Computer 3385;Inactive;Operational;DELL;Optiplex 3060 MFF;Standard personal computers;LEITNER-POMA OF AMERICA INC;USA-CO-GRANDJUNCTION;06/06/2024;06/06/2019;Permanent;Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz;35
Computer 3102;Inactive;Operational;DELL;Latitude 5500;Standard laptops;PRINOTH NA;CAN-GRANBY;29/09/2023;28/09/2020;Permanent;Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz;15
Computer 2679;Production;Operational;DELL;Latitude 7200 2 in 1;Hybrid devices;DEMACLENKO;ITA-VIPITENO;01/01/2020;01/01/2020;Permanent;Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz;15
Computer 2680;Production;Operational;DELL;Latitude 7200 2 in 1;Hybrid devices;DEMACLENKO;ITA-VIPITENO;01/01/2020;01/01/2020;Permanent;Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz;15
Computer 2681;Production;Operational;DELL;Latitude 7200 2 in 1;Hybrid devices;PRINOTH SPA;ITA-VIPITENO;01/01/2020;01/01/2020;Permanent;Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz;15
Computer 3259;Production;Operational;DELL;Latitude 7220 Rugged;Special devices for personal computing;PRINOTH SPA;ITA-VIPITENO;29/06/2021;29/06/2021;Shared;Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz;15
Computer 3664;Production;Operational;DELL;Latitude 7220 Rugged;Special devices for personal computing;PRINOTH SPA;ITA-VIPITENO;22/12/2024;22/12/2021;Shared;Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz;15
Computer 3665;Production;Operational;DELL;Latitude 7220 Rugged;Special devices for personal computing;PRINOTH SPA;ITA-VIPITENO;22/12/2024;22/12/2021;Shared;Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz;15
Computer 3666;Production;Operational;DELL;Latitude 7220 Rugged;Special devices for personal computing;PRINOTH SPA;ITA-VIPITENO;22/12/2024;22/12/2021;Shared;Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz;15
Computer 3667;Production;Operational;DELL;Latitude 7220 Rugged;Special devices for personal computing;PRINOTH SPA;ITA-VIPITENO;22/12/2024;22/12/2021;Shared;Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz;15
Computer 3668;Production;Operational;DELL;Latitude 7220 Rugged;Special devices for personal computing;PRINOTH SPA;ITA-VIPITENO;22/12/2024;22/12/2021;Shared;Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz;15
Computer 824;Inactive;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;POMA SAS;FRA-VEYRINS;06/07/2021;01/08/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 840;Inactive;Incident;DELL;Latitude 5290 2 in 1;Hybrid devices;POMA SAS;FRA-VOREPPE;22/07/2022;01/08/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2327;Inactive;Incident;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 336;Inactive;Operational;DELL;Latitude 5590;Standard laptops;POMA SAS;FRA-VOREPPE;10/01/2022;14/08/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 672;Inactive;Operational;DELL;Latitude 5590;Standard laptops;POMA SAS;FRA-VOREPPE;17/08/2021;14/08/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 702;Inactive;Operational;DELL;Latitude 5590;Standard laptops;POMA SAS;FRA-VOREPPE;22/04/2022;14/08/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 1013;Inactive;Operational;DELL;Latitude 5590;Standard laptops;POMA SAS;FRA-GILLY;;12/06/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2055;Inactive;Operational;DELL;Latitude 5480;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2017;01/01/2017;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2220;Inactive;Operational;DELL;Latitude 5490;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2347;Inactive;Operational;DELL;Latitude 5590;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2349;Inactive;Operational;DELL;Latitude 5590;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2458;Inactive;Operational;DELL;Latitude 5490;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2480;Inactive;Operational;DELL;Latitude 5490;Standard laptops;PRINOTH SPA;GER-HERDWANGEN;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2516;Inactive;Operational;DELL;Latitude 5490;Standard laptops;PRINOTH SPA;AUT-TELFS;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2595;Inactive;Operational;DELL;Latitude 5490;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2634;Inactive;Operational;DELL;Latitude 5490;Standard laptops;LEITNER SPA;AUT-TELFS;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 3031;Inactive;Operational;DELL;Latitude 5490;Standard laptops;PRINOTH NA;CAN-GRANBY;31/05/2022;29/05/2019;Temporary;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 3034;Inactive;Incident;DELL;Latitude 5490;Standard laptops;PRINOTH NA;CAN-GRANBY;31/05/2022;29/05/2019;Temporary;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 3049;Inactive;Operational;DELL;Latitude 5490;Standard laptops;PRINOTH NA;USA-NV-RENO;24/04/2022;23/04/2019;Temporary;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 3111;Inactive;Operational;DELL;Latitude 5490;Standard laptops;PRINOTH NA;CAN-GRANBY;10/06/2021;09/06/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 352;Production;Operational;DELL;Latitude 5280;Standard laptops;POMA LLC;RUS-MOSCOW;31/07/2020;31/07/2017;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 3009;Production;Operational;DELL;Latitude 5290;Standard laptops;PRINOTH NA;CAN-GRANBY;15/04/2022;14/04/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 3010;Production;Operational;DELL;Latitude 5290;Standard laptops;PRINOTH NA;CAN-GRANBY;16/04/2022;15/04/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 3011;Production;Operational;DELL;Latitude 5290;Standard laptops;PRINOTH NA;CAN-GRANBY;15/04/2022;14/04/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 3012;Production;Operational;DELL;Latitude 5290;Standard laptops;PRINOTH NA;CAN-GRANBY;16/04/2022;15/04/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 3013;Production;Operational;DELL;Latitude 5290;Standard laptops;PRINOTH NA;CAN-GRANBY;16/04/2022;15/04/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 3097;Production;Operational;DELL;Latitude 5290;Standard laptops;PRINOTH NA;CAN-GRANBY;16/04/2022;15/04/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 153;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;POMA COLOMBIA SAS;COL-BELLO;09/02/2021;01/06/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 778;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;POMA SAS;FRA-VOREPPE;;16/06/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 993;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;POMA SAS;FRA-GILLY;;06/05/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 994;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;POMA SAS;FRA-GILLY;06/05/2022;06/05/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 1007;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;POMA SAS;FRA-GILLY;;01/08/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 1027;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;POMA SAS;FRA-GILLY;02/07/2021;02/07/2018;Shared;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 1223;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;POMA SAS;FRA-VEYRINS;06/10/2021;01/09/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 1224;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;POMA SAS;FRA-VEYRINS;;01/11/2019;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 1304;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;PRINOTH SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2225;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2226;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2227;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;TELEFERICOS Y NIEVE SL;ESP-BARCELONA;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2320;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2322;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;PRINOTH SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2323;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2324;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;PRINOTH SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2325;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;PRINOTH SPA;AUT-TELFS;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2328;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;PRINOTH SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2329;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;PRINOTH SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2330;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2331;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;PRINOTH SPA;AUT-TELFS;01/01/2018;01/01/2018;Shared;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2332;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2384;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;CHE-BAAR;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2386;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2392;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;PRINOTH SPA;ITA-SINIGO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2394;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2661;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;DEMACLENKO;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2662;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
Computer 2663;Production;Operational;DELL;Latitude 5290 2 in 1;Hybrid devices;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz;15
